




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	Reactome version 58 Released 2016-12-07
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Reactome pathways	Mus musculus - REFLIST (22262)	upload_1 (2942)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Activation of NIMA Kinases NEK9, NEK6, NEK7 (R-MMU-2980767)	6	6	.79	+	7.57	1.24E-03	6.16E-03
Phosphorylation of Emi1 (R-MMU-176417)	6	6	.79	+	7.57	1.24E-03	6.14E-03
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes (R-MMU-69200)	4	4	.53	+	7.57	8.79E-03	3.32E-02
Beta oxidation of octanoyl-CoA to hexanoyl-CoA (R-MMU-77348)	5	5	.66	+	7.57	3.28E-03	1.42E-02
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA (R-MMU-77346)	5	5	.66	+	7.57	3.28E-03	1.42E-02
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA (R-MMU-77310)	4	4	.53	+	7.57	8.79E-03	3.31E-02
Eukaryotic Translation Elongation (R-MMU-156842)	4	4	.53	+	7.57	8.79E-03	3.30E-02
Association of TriC/CCT with target proteins during biosynthesis (R-MMU-390471)	8	7	1.06	+	6.62	8.04E-04	4.12E-03
G1/S-Specific Transcription (R-MMU-69205)	15	13	1.98	+	6.56	4.96E-06	3.83E-05
DNA replication initiation (R-MMU-68952)	7	6	.93	+	6.49	2.08E-03	9.80E-03
mitochondrial fatty acid beta-oxidation of saturated fatty acids (R-MMU-77286)	7	6	.93	+	6.49	2.08E-03	9.77E-03
Telomere C-strand synthesis initiation (R-MMU-174430)	7	6	.93	+	6.49	2.08E-03	9.74E-03
Ribosomal scanning and start codon recognition (R-MMU-72702)	52	44	6.87	+	6.40	6.32E-17	3.08E-15
Translation initiation complex formation (R-MMU-72649)	51	43	6.74	+	6.38	1.55E-16	7.34E-15
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S (R-MMU-72662)	52	43	6.87	+	6.26	2.52E-16	1.12E-14
Formation of the ternary complex, and subsequently, the 43S complex (R-MMU-72695)	45	37	5.95	+	6.22	3.40E-14	1.23E-12
GTP hydrolysis and joining of the 60S ribosomal subunit (R-MMU-72706)	99	80	13.08	+	6.11	1.11E-28	2.09E-26
L13a-mediated translational silencing of Ceruloplasmin expression (R-MMU-156827)	98	79	12.95	+	6.10	2.72E-28	4.11E-26
G2/M DNA replication checkpoint (R-MMU-69478)	5	4	.66	+	6.05	1.44E-02	5.01E-02
Beta oxidation of hexanoyl-CoA to butanoyl-CoA (R-MMU-77350)	5	4	.66	+	6.05	1.44E-02	5.00E-02
Advanced glycosylation endproduct receptor signaling (R-MMU-879415)	5	4	.66	+	6.05	1.44E-02	4.99E-02
Polo-like kinase mediated events (R-MMU-156711)	5	4	.66	+	6.05	1.44E-02	4.98E-02
Formation of a pool of free 40S subunits (R-MMU-72689)	88	70	11.63	+	6.02	5.44E-25	5.88E-23
Leading Strand Synthesis (R-MMU-69109)	14	11	1.85	+	5.95	5.00E-05	3.13E-04
Polymerase switching (R-MMU-69091)	14	11	1.85	+	5.95	5.00E-05	3.11E-04
Polymerase switching on the C-strand of the telomere (R-MMU-174411)	14	11	1.85	+	5.95	5.00E-05	3.10E-04
Telomere C-strand (Lagging Strand) Synthesis (R-MMU-174417)	23	18	3.04	+	5.92	2.16E-07	2.01E-06
Cap-dependent Translation Initiation (R-MMU-72737)	105	81	13.88	+	5.84	4.51E-28	6.21E-26
Eukaryotic Translation Initiation (R-MMU-72613)	106	81	14.01	+	5.78	7.06E-28	8.91E-26
E2F mediated regulation of DNA replication (R-MMU-113510)	25	19	3.30	+	5.75	1.38E-07	1.43E-06
SRP-dependent cotranslational protein targeting to membrane (R-MMU-1799339)	79	60	10.44	+	5.75	6.38E-21	5.08E-19
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) (R-MMU-975956)	81	61	10.70	+	5.70	4.08E-21	3.43E-19
Lagging Strand Synthesis (R-MMU-69186)	20	15	2.64	+	5.68	3.22E-06	2.53E-05
Telomere Maintenance (R-MMU-157579)	25	18	3.30	+	5.45	5.17E-07	4.40E-06
Extension of Telomeres (R-MMU-180786)	25	18	3.30	+	5.45	5.17E-07	4.37E-06
Condensation of Prometaphase Chromosomes (R-MMU-2514853)	7	5	.93	+	5.40	8.43E-03	3.20E-02
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest (R-MMU-6804114)	7	5	.93	+	5.40	8.43E-03	3.19E-02
Translation (R-MMU-72766)	122	87	16.12	+	5.40	2.57E-28	4.32E-26
PCNA-Dependent Long Patch Base Excision Repair (R-MMU-5651801)	17	12	2.25	+	5.34	4.78E-05	3.03E-04
Activation of the pre-replicative complex (R-MMU-68962)	30	21	3.96	+	5.30	8.29E-08	9.65E-07
Resolution of AP sites via the multiple-nucleotide patch replacement pathway (R-MMU-110373)	19	13	2.51	+	5.18	2.93E-05	1.94E-04
Citric acid cycle (TCA cycle) (R-MMU-71403)	19	13	2.51	+	5.18	2.93E-05	1.93E-04
